metric,mean,ci95_low,ci95_high,pm_halfwidth
Recall,0.6263607594936709,0.6127527689873417,0.639082674050633,0.01316495253164568
FNR,0.3736392405063292,0.36091732594936704,0.3872472310126582,0.013164952531645568
F1,0.6822354633387967,0.6771850542471345,0.6871502138475581,0.004982579800211828
