Categoria,AUC,Threshold ótimo,TPR (Recall),FPR,Threshold normalizado
Armas,0.7496025986592023,0.259,0.6981132075471698,0.25274725274725274,0.22759226713532515
Emoções,0.5051316607920382,0.117,0.34591194968553457,0.33516483516483514,0.2796812749226838
Violência,0.5632904831018039,1.0,0.1320754716981132,0.005494505494505495,
