,weapon_detection_best_detections,weapon_detection_best2_detections,weapon_detection_model_detections,weapon_detection_EffientNet_detections,emotion_recognition_deepface_emotions,emotion_recognition_fer_emotions,environment_detection_violenceEnvironments
weapon_detection_best_detections,1.0,0.22284925364356067,0.23644414231101868,0.21297433051073972,-0.056767225942816225,0.01571897188672745,-0.0009389693140737747
weapon_detection_best2_detections,0.22284925364356067,1.0,0.19420125907099023,-0.053779837789202395,0.03685951634313654,0.018062837742488725,0.011522065579919775
weapon_detection_model_detections,0.23644414231101868,0.19420125907099023,1.0,0.15910041989177703,0.0015271776668408497,0.07992118194581443,0.02068978795566802
weapon_detection_EffientNet_detections,0.21297433051073972,-0.053779837789202395,0.15910041989177703,1.0,0.0007278574089228161,-0.09051337951010856,0.23198503583092636
emotion_recognition_deepface_emotions,-0.056767225942816225,0.03685951634313654,0.0015271776668408497,0.0007278574089228161,1.0,0.09377506329432234,0.11458841193089103
emotion_recognition_fer_emotions,0.01571897188672745,0.018062837742488725,0.07992118194581443,-0.09051337951010856,0.09377506329432234,1.0,-0.07105786311615231
environment_detection_violenceEnvironments,-0.0009389693140737747,0.011522065579919775,0.02068978795566802,0.23198503583092636,0.11458841193089103,-0.07105786311615231,1.0
