,weapon_detection_best_detections,weapon_detection_best2_detections,weapon_detection_model_detections,weapon_detection_EffientNet_detections,emotion_recognition_deepface_emotions,emotion_recognition_fer_emotions,environment_detection_violenceEnvironments
weapon_detection_best_detections,1.0,0.2349568743907033,0.2364509820670747,0.2172179182707834,-0.05197842720689176,0.014801406820938808,0.014323273870174671
weapon_detection_best2_detections,0.2349568743907033,1.0,0.20628722968448027,-0.047244330048422954,0.04724837307642466,0.029647651750958612,0.009298535824771102
weapon_detection_model_detections,0.2364509820670747,0.20628722968448027,1.0,0.1476255760092613,0.0007660990217717412,0.09683393852315347,0.04679137997847658
weapon_detection_EffientNet_detections,0.2172179182707834,-0.047244330048422954,0.1476255760092613,1.0,-0.0030065016967311966,-0.09209026375991719,0.24304816381955968
emotion_recognition_deepface_emotions,-0.05197842720689176,0.04724837307642466,0.0007660990217717412,-0.0030065016967311966,1.0,0.07286139810624091,0.09608443370272136
emotion_recognition_fer_emotions,0.014801406820938808,0.029647651750958612,0.09683393852315347,-0.09209026375991719,0.07286139810624091,1.0,-0.07531376281116722
environment_detection_violenceEnvironments,0.014323273870174671,0.009298535824771102,0.04679137997847658,0.24304816381955968,0.09608443370272136,-0.07531376281116722,1.0
